Group,Recipe Name,File Name,Completeness Score,Published/Removed/Merged
group_0,Steamed Egg In Pork,047_65d496b6977bcd0001feeb14.json,104,Published
group_0,Steamed Egg In Pork,050_65d496b6977bcd0001feeb14.json,104,Removed
group_0,MERGED: Steamed Egg In Pork,merged_047_65d496b6977bcd0001feeb14.json,N/A,Merged
group_1,Galunggong In Coconut Aminos,257_65d4966d977bcd0001fee980.json,104,Published
group_1,Galunggong In Coconut Aminos,260_65d4966d977bcd0001fee980.json,104,Removed
group_1,MERGED: Galunggong In Coconut Aminos,merged_257_65d4966d977bcd0001fee980.json,N/A,Merged
group_2,4 Ingredient Pancake,269_65d49656977bcd0001fee8fa.json,104,Published
group_2,4 Ingredient Pancake,272_65d49656977bcd0001fee8fa.json,104,Removed
group_2,MERGED: 4 Ingredient Pancake,merged_269_65d49656977bcd0001fee8fa.json,N/A,Merged
group_3,Buttered Cabbage,094_65d495f7977bcd0001fee6ee.json,101,Published
group_3,Buttered Cabbage,091_65d495f7977bcd0001fee6ee.json,101,Removed
group_3,MERGED: Buttered Cabbage,merged_094_65d495f7977bcd0001fee6ee.json,N/A,Merged
group_4,Wagyu Cabbage Sopas,036_65d496f4977bcd0001feec5e.json,110,Published
group_4,Wagyu Cabbage Sopas,033_65d496f4977bcd0001feec5e.json,110,Removed
group_4,MERGED: Wagyu Cabbage Sopas,merged_036_65d496f4977bcd0001feec5e.json,N/A,Merged
group_5,Enoki Carrots,332_65d495de977bcd0001fee65d.json,100,Published
group_5,Enoki Carrots,329_65d495de977bcd0001fee65d.json,100,Removed
group_5,MERGED: Enoki Carrots,merged_332_65d495de977bcd0001fee65d.json,N/A,Merged
group_6,Banana Blossom Fresh Spring Rolls,313_65d495fb977bcd0001fee706.json,109,Published
group_6,Banana Blossom Fresh Spring Rolls,316_65d495fb977bcd0001fee706.json,109,Removed
group_6,MERGED: Banana Blossom Fresh Spring Rolls,merged_313_65d495fb977bcd0001fee706.json,N/A,Merged
group_7,Homemade Spaghetti,249_65d4967e977bcd0001fee9dc.json,106,Published
group_7,Homemade Spaghetti,246_65d4967e977bcd0001fee9dc.json,106,Removed
group_7,MERGED: Homemade Spaghetti,merged_249_65d4967e977bcd0001fee9dc.json,N/A,Merged
group_8,Healthyfied,124_65d4979f977bcd0001feef91.json,105,Published
group_8,Healthyfied,127_65d4979f977bcd0001feef91.json,105,Removed
